comment,attachments,title,postedDate
"See attached file(s)<br/><br/>To allow AI to use creative pieces/man-made pieces without explicit permission from the author(s), is inherently unethical, and in many cases, illegal.  There is no ethical version of AI unconsensually using the authors&#39; creative content- especially not for any type of income or commercial purpose.  It is infringement of the creator&#39;s rights, to use without knowing explicit permission from the authors.<br/><br/>The constitutional justification for this blatant copyright is to &quot;promote the progress of science and useful arts.&quot;<br/><br/>Not only does the practice discourage artists, but promotes the unethical practices of taking a targeted artist&#39;s work and copying directly off of them in a technological format, without a human touch and human effort behind the piece itself.  A person may choose to study artworks themselves, and create pieces based off of their learned works- but this, as long as it is done in honest will, will result in a type of style unique to each person, and an effort ethically able to gain money from.  The AI is being used to harass creators and use their works for profit, with no human effort or touch behind the technological process.  It is living off the backs of people that work hard to develop skills, earned typically over years of labor, without their permission or compensation.<br/><br/>Sites that have tried to protect artists and writers from AI copyright are still preyed upon- more often than not, for profit only.  Merge a few artworks (without the creators permission), paste, get money- all it takes are a few clicks.  In no way is this an ethical practice.  It takes revenue from the artist&#39;s hard-earned works and skill, in a lazy, unconsensual, and frankly disgusting way.<br/><br/>&quot;The educational exceptions&quot; for the AI are being blatantly ignored by many, if not most.<br/><br/>It hurts me deeply, personally, and makes me fear posting any creative content made by my own hand.  It would feel terrible to see any part of it being used for revenue somewhere else without my permission, and discourage any hand-made creative processes further.  <br/><br/>I can see AI encouraging creative people and others as a whole, but not without respecting the authors, the hard work and talent it comes from, behind everything being generated, and firmly implementing the grounds in which it is appropriate to use such works.<br/><br/>Please implement creator/author consent to all these AI&#39;s.  As long as there is explicit and knowing consent from each individual author/creator, we can hope to not discourage the actual artists, and maintain the baseline of respect and ethics that should&#39;ve always been there, while still feeding the learning algorithms.<br/><br/>Any unconsensual generative/scraping/other AI made for/including creative works, that isn&#39;t truly being used in (or directly supporting the ethical grounds of) the good will of the original authors of works being scraped, should be firmly illegal.<br/><br/>I truly hope this can change something.",[],Comment from Anonymous,2023-11-01T04:00:00Z
"AI does not form anything without human intervention and uses human writing to create copy. Thus only humans and NOT AI should have the benefits of copyright protection. Thus anything haphazardly assembled solely with AI and not created by human creativity should also not receive the protection of copyright. AI is nothing more than a pasta maker machine and we don&#39;t protect the rights and privileges of the pasta making machine, just the pasta chef.",[],"Comment from Perry, Diana",2023-10-31T04:00:00Z
AI is not human creation and as such should not be protected by copyright. A machine owns no creative claim to the work it generates through an algorithm however good it may be. And anyone who uses AI to create work has not created the work themselves.,[],"Comment from Chang, Tabitha",2023-10-31T04:00:00Z
"Hello. This is a personal comment. I do not speak for any group, but I personally file trademarks for my state. I can only speak for myself. It is my belief that AI being copyrightable, and by extension the trademark tangential implications would cause uproar, confusion, and lack of understanding of what is happening when AI technology is used to create something that is thought to be new and copyrightable. Anecdotally, I am familiar with authors and artists who have had their personally owned creations &#39;scraped&#39; by large-company owned AI tools to feed into their machine learning and use for their own purposes. If is not widely understood, I believe it would cause misunderstandings and be very, very expensive. At every stage, this would create more work for you, and for me. The questions I would now have to answer about law that does not yet exist in my state&#39;s statutes...I cannot imagine it would be any better. And knowing your work queue, which as I understand it stands at October 2022, do you really want to add to your registrations when you have to reject them for corrections even more? There&#39;s an argument for anyone in the patent and trademark office who manages to read this...you are behind on staffing and do not have time for this. It&#39;s not time yet when we do not understand as a society how the AI machine learning is being used. I am dreading the phone calls and emails I will have to field if this becomes a thing in my trademark work world, and let me tell you it will not be pretty at the Federal level, so good luck with that. Again, I speak not for my workplace, I just work there.",[],"Comment from Jones, Marleda",2023-10-31T04:00:00Z
"AI cannot and should not be allowed any sort of copyright whatsoever. All it does is steal from the hard work that people did - their drawings, their stories, their songs, their voices - and spit out an abomination that loses the soul of what it stole. <br/><br/>Protect creators. And don&#39;t let AI anywhere near our work.",[],"Comment from Hoole, Samantha",2023-10-31T04:00:00Z
"Rights belong to living things, like humans, other animals, and perhaps plants and mushrooms.<br/>AI, not being alive, and therefore devoid of rights, is not allowed to copyright, anything.<br/><br/>Thanks and best regards.<br/><br/>Sincerely, an alive human being.",[],"Comment from R. G., George",2023-10-31T04:00:00Z
"At its most basic level, copyright exists as an agreement between society and the artist. Having art is good for society. Make us art, says society, and we will let you profit solely off this art for some span of time. This is the only possible way art can survive in a capitalist society.<br/><br/>Presumably, you want to preserve a capitalist society. Therefore, you must enforce copyright. Companies must prove that they have contracts with every artist, writer, or other creative they scraped to train their bots, from the most prominent named artists to comparative unknowns who posted a single tweet. If they cannot do so in any instance, their entire imitation bot must be erased and made illegal. Only imitation bots trained on properly sourced and contracted material can operate. Furthermore, no product of imitation bots must ever be allowed to be copyrighted.<br/><br/>This may seem harsh compared to what you are currently pursuing, but the only alternatives would be to destroy all incentives to make art or dismantle capitalism. Those are the only three possible options in our society. One of those options will happen, whether consciously chosen or not. I urge you to choose consciously and wisely. The Copyright Office is our best defense against the total collapse of the artistic sector of our society.",[],"Comment from Witthauer, Jeffrey",2023-10-31T04:00:00Z
on the website blackboard you need to submit your college essays to check for any sign of plagiarism--such as copying and pasting.<br/><br/>AI is using existing existing art and other written works to essentially copy and paste works that already exist. None of it is original. ,[],"Comment from Waxtein, Gabrielle",2023-10-31T04:00:00Z
"My name is Isaac.  I create original content often.  I believe that if you&rsquo;re using an AI that has been offered by the company that owns it as a service to you to create original content based on your input, you should be able to copyright what it produces just like a ghost writer can give away the copyright to their work.  A graphic artist can also give away their right to content they&rsquo;ve created.   Original content from AI should be able to be copyrighted under correct spelled out scenarios.  <br/><br/>Also, as far as what it learned from: a human doesn&rsquo;t have to learn from only non-copyrighted material, so an AI should be able to learn from any material as well. ",[],"Comment from King, Isaac",2023-10-31T04:00:00Z
"Can&#39;t say as I like the idea of my data&mdash;face, voice, art, whatever&mdash;being used to create profitable things I get no payment for and didn&#39;t agree to contribute to. Nor do I much like the concept of deep fakes. Seems likely to hurt people to me. AI&#39;s fine and all, but the folks running it should only be able to feed in data if they&#39;ve got the data owners&#39; permission to do that.",[],"Comment from Yeager, Dan",2023-10-31T04:00:00Z
"AI &#39;authorship&#39; horrifies me for several reasons.<br/>1. The work currently created by programs like ChatGPT is prone to error, and tends not to get fact-checked. Propagation of misinformation is injurious to the public good.<br/>2. AI generation of text, art, and voices as a cheap alternative to live workers damages their livelihood in a very real way. In particular, young people trying to enter these fields -- without any kind of marketable name or body of work to tempt potential employers -- are likely to be starved out before they even start. That damages people&#39;s employment opportunities, and it damages artistic traditions as a collection of techniques passed down from experienced workers to their juniors. It&#39;s astroturf compared to a blossoming meadow.<br/>3. Many AI generators have learned on content that was copyrighted and without the consent of the creators, with no royalties in sight. The owners of these generators claim that the source content is scrambled enough that they&#39;re not infringing fair use, but I&#39;ve seen AI &#39;art&#39; reproduce watermarks before now. It is, at best, tacky.<br/><br/>Thank you for listening to my opinions.",[],"Comment from Pegg, Catherine",2023-10-31T04:00:00Z
I believe it is unethical for people to stake claims on work they did not directly create.,[],Comment from Talun Art LLC,2023-10-31T04:00:00Z
"AI art I have seen online has overwhelmingly stolen from real, human artists/creators without giving credit or compensation of any kind. This is harmful to creators because their creations are reduced to mere data points and the creators receive nothing in return. AI programs require loads of data created by people in order to function and improve. The people whose data is used by AI must be compensated when AI engines make use of their art and other data. Compensation to creators/artists provides recognition of their work and shows that what they make and do is valued. Furthermore, creators should have the right to decide when they do not want AI to be able to use something they made. The consent of the human creator is vital. ",[],Comment from Anonymous,2023-10-31T04:00:00Z
All content produced by AI is based on uncredited interpolation of someone else&rsquo;s work.  No on should be permitted to copyright or profit from this inherently stolen work.,[],"Comment from Smith, Jason",2023-10-31T04:00:00Z
"At the beginning if AI content generation, it was seen as a joke. Gradually, people realised how AI art worked and protested. The protests were ignored, however, until AI art became &#39;uncool&#39;. Now there are AI voice generators that are being used. AI voice technology is extremely damaging to both people who profit off of their voice (Voice Actors, Musicians, etc.) and people in public positions. If AI voice content becomes more normalised, companies will start leaning towards using AI voice technology over hiring voice actors. This event would cause many people to lose their jobs. AI voice has also been used to generate NSFW content of characters and people who are under the age of 18. The same issue has been prominent with AI art generation as well. <br/>AI voice has been compared to vocal synthesisers. There is one main difference that AI voice users disregard. The voicebanks and characters from vocal synthesisers are created with the voices of PAID individuals. Vocal synthesisers also do not sound identical to the voice provider, which creates a distinct barrier between the voice provider and the voicebank used in the synthesiser. The voice provider is compensated each time their voicebank is bought, sometimes as well as additional royalties. <br/>I firmly believe that AI content generation technology should not be used in most situations. There are instances where AI voice technology is used to replicate certain voices from deceased actors. I have no problem with that as long as the families of the actors are compensated for the use of the voice. <br/>In conclusion, AI generation technology should only be used if there are strict copyright laws and regulations keeping users in check. AI generation technology should if the original creators/actors are properly compensated.",[],"Comment from Claassen, Meridian",2023-10-31T04:00:00Z
This technology absolutely needs more regulation. It&rsquo;s beyond unethical to train a machine on someone else&rsquo;s work and use it to output content that you then claim as your own. I think AI can be used for wonderful things. It should be. But absolutely not through theft and dishonesty. We need something to regulate it or it&rsquo;s going to hurt a lot of people.,[],"Comment from Jones, Madison",2023-10-31T04:00:00Z
"Hello, I am an author based in Texas with various concern regarding unregulated AI because of threats to copyright and livelihoods. This technology is already doing damage due to lack of regulations, and copyright holders currently have little to no recourse.<br/><br/>Instances of AI users taking advantage of the fact that many artists, authors, actors, models, etc. need to use the internet to market their work. They take the posts to put the person&rsquo;s content into a machine and then trying to sell these pieces off as the user&rsquo;s original work, when nothing is original about it. Imagine you made various cookies for a bake sale and another vendor comes to your table, steals your cookies, and then puts the pilfered sweets on a platter on their table and passes them off as their own cookies. That&rsquo;s what&rsquo;s happening in real life.<br/><br/>Worse is now we&rsquo;ve seen instances of people trying to sell foraging guides to make money on Amazon made with AI even going as far as to make-up fake authors with fake credentials. These foraging guides will tout that various inedible flora is wholly edible which will lead to illness, at best, and death, in a worse case scenario. <br/><br/>Regulations are a necessity with this technology as copyright holders and working artists need to know their creations can be protected and, given the above paragraph, will save many people from hospital visits or wrongful death due to someone taking advantage of a lack of regulations to make money.   This will not hinder any innovation, it will support it. The current unregulated generative model hurts hard workers in the field of art and entertainment and will soon hurt the average citizen. <br/>",[],Comment from Anonymous,2023-11-01T04:00:00Z
"1. As described above, generative AI systems have the ability to produce material that would be copyrightable [...]<br/><br/>My view of AI currently is nigh-catastrophic. For a technology that has been pitched to the public as a grand jump in what we&#39;re capable of, the most dramatic effect I have personally witnessed is AI/ML threatening the livelihoods of artists and writers who already are forced to subsist on sub-par wages.<br/><br/>6. What kinds of copyright-protected[...]<br/><br/>6.1. How or where do developers of AI models acquire the materials or datasets that their [...]<br/><br/>OpenAI, one of the big language learning models, was recently discovered to be trained on fanfiction of all things. There was no request for access to fanfic authors&#39; work. It just happened, because it&#39;s assumed that anything posted publicly online is scrappable. This is deeply demoralizing and also seems like an incredibly stupid stance. Does every public article of a news site become fair game? If I copy and pasted someone&#39;s work and posted it as my own, I would rightly be dragged over the coals, and if I were financially benefiting from that theft I would deserve to be sued.<br/><br/>I am fine with public domain work or work that is directly commissioned by developers to be used in learn models. For me, it is extremely important that people OPT INTO these data models, not be tricked into OPT OUT systems.<br/><br/>Also, the idea that a large collection of written or artistic work might be offered up to teach large scale models. Lets say a massive site that has been active for a very long time, such as ArtStation, suddenly emails ALL USERS to say &quot;Hello, we are going to share your personal artwork with this AI/ML data set. If you do NOT want to be included, let us know!&quot;<br/><br/>That&#39;s a fine idea but is equally useless. What about users who have changed email addresses and miss that vitally important email? What about people who have moved onto new sites? What about people who have PASSED AWAY who stand to lose this basic protection of their work through zero fault of their own?<br/><br/>The only ethical data sets are ones that the artists OPT INTO with full understanding of the process.<br/><br/>8. Under what circumstances would the unauthorized use of copyrighted works to train AI models constitute fair use?[...]<br/><br/>There is no circumstance where unauthorized use of copyright works should be used to train AI. Fair Use should not apply to AI/ML because when a human being creates work protected by Fair Use, there is intentionality and interpretation happening. An AI is reacting to a prompt. There is no intentionality or interpretation, only using someone else&#39;s work to generate more of that exact work.<br/><br/>8.3. The use of copyrighted materials in a training [...]Does it make a difference if funding for these noncommercial [...]<br/><br/>I love these questions here because the initial questions made me think &quot;well perhaps for research purposes it would be ethical&quot; but the subsequent two additions reminded me why, no, actually, it would not be ethical. In the same way Accuweather profits off the work of the NOAA, the perfect ethical dream of a Moral Use Of AI would inevitably be turned into profit. No. Keep copyrighted and unauthorized work out of datasets, even non-profit and research-focused AI/ML.<br/><br/>9. Should copyright owners have to affirmatively consent (opt in) [...]<br/><br/>Opt in with robust, easily-understand parameters and legal agreements is the only acceptable consent. Opt out is not viable for the reasons I described above.<br/><br/>9.4. If an objection is not honored, what remedies should be [...]<br/><br/>I think if the objection is not honored, the owner of the dataset should be forced to either discard the entire dataset immediately or to give 100% royalities to every single result of that data set. I want the punishment for not honoring such a request to be so severe it completely dictates the way these things are operated.<br/><br/>15. In order to allow copyright owners to[...]<br/><br/>Yes.<br/><br/>18. Under copyright law, are there circumstances when a human [...]<br/><br/>The only situation where AI-generated work should be copyrightable is if the dataset was exclusively sourced from the author. <br/><br/>20. Is legal protection for AI-generated material desirable [...]<br/><br/>I don&#39;t care. I feel like I have watched AI/ML generated art go from an interesting oddity to a massive threat to truth, art, writing, and the livelihoods of everyone who makes a logo for a new soda, who does art commissions of people&#39;s pets, who writes bestselling novels, who works as a script doctor. <br/><br/>The people behind this technology have proven over and over and over and over EXHAUSTIVELY that are willing to screw over every creative person they can all in the name of profit. I don&#39;t think generative AI is &#39;ready for prime time&#39; so to speak and until these issues are resolved, I don&#39;t care about encouraging the development of the technology. Because they&#39;ve proven they don&#39;t care about art and the human labor behind it.",[],"Comment from Martino, Danielle",2023-11-01T04:00:00Z
"My name is Daniel. I work as a concept artist in a AAA studio.<br/><br/>I have personal work as well as copyrighted work up on social media as well as portfolio sites.<br/><br/>I do not know what of my work has been scrapped for gen ai models like Mid Journey or Dall-e.<br/><br/>My work should be protected and not used in their models unless they seek permission to begin with. I think the companies that own these models should start fresh with free source images unless they seek permission, artist names should not be allowed in search queries or if they are with permission the artist should be compensated.<br/><br/>They are profiting from artists work freely, without permission<br/><br/>Below is an example of an ai generated image of a gun concept which even produced remnants of Bungie&rsquo;s logo in the final generated image.<br/><br/>It&rsquo;s just one example of how the ai models are directly copying parts of original artists/companies images.<br/><br/>Source was found on facebook.<br/><br/>Thankyou for spending the time reading my comment!<br/><br/>Daniel<br/><br/> <br/><br/>",[],"Comment from Walsh, Daniel",2023-11-01T04:00:00Z
"I am a writer, hoping to get published one day and I draw as a hobby too.<br/><br/>I believe AI art is not copyright infringement. AI &quot;training&quot; on art and writing is no different from a human viewing and reading things to learn. AI does not use and mash pixels together as some believe. I think this source here is good for proving AI art isn&#39;t violating copyrights. https://thecodebytes.com/is-ai-art-theft/ ",[],"Comment from whittle, stephanie",2023-10-31T04:00:00Z
"I cannot answer the questions given point by point, given the character limits, but I will try to state my broad concerns addressed in them:<br/><br/>1) Because AI is not sapient and cannot comprehend its input or output, none of its works can be said to be &quot;intellectual&quot; property. While the models are impressive and often put out results that are comprehensible to humans, the machine does not understand or care about what it has produced.<br/><br/>2) The humans running the machine did not produce the work, either, even if they did write the prompt; even if they carefully honed the prompt over time. I have commissioned human artists for artwork before; while I then own the right to use it for personal purposes, the copyright for that piece remains theirs unless I specifically buy it from them. The artist did the labor; I just laid out the specifics. *I* am not the artist of that piece; I am a client, even if I buy my way into being a copyright holder. It seems wildly unprecedented to me for a human to claim authorship of a commissioned piece, just because the &quot;artist&quot; was a machine instead of a human.<br/><br/>3) All major AI models have been trained on art and writing for which it did not receive authorial permission. AI does not cite its sources, and even the creators of the models cannot track where the machine did its learning, or precisely how it compiled its output. And since it is not actually intelligent, the AI cannot make decisions or be held accountable for what kind of things it learns, or who to credit for them. Until this is resolved, current models seem to me to be fundamentally unethical--the model consumes work it does not own, benefiting from the labor of creators who will never see a dime from the AI&#39;s profits.<br/><br/>4) There may, in the future, be an ethical way to produce AI-generated writing, as the models gain a more advanced command of the rules of English. Words have limited meanings, and no one person can copyright basic parts of speech. I believe this would only be limited to more technical writing--there are only so many ways, for instance, to describe how to operate a toaster. A dozen human writers working independently would all produce similar-sounding work, without plagiarizing at all. Perhaps AI can one day be considered equal to such a task. I do not think AI is there yet, with so many unresolved issues surrounding its sources.<br/><br/>5) I do not see any way that there will ever be ethically-produced AI-generated art--especially graphic and visual art, but also music, poetry, etc. While *words* are largely static and for use by all, *art* is innately personal to the artist. Their handwriting, their brushstrokes, the way they see and abstract and represent their observations; their conventions, their stylistic markers, etc. AI cannot innovate. It cannot imagine. It cannot experiment. It cannot interpret. It has no lived experience. It can only acquire, and systematize, and repurpose. AI generated art of all forms is innately derivative, with no way to make it otherwise. While all artists must take inspiration from others, AI cannot be inspired; it can merely copy. I cannot see a way it will ever *not* infringe upon human authorial rights; I cannot see a way it can ever produce any art that should be considered original or copyrightable.<br/><br/>6) I believe AI should be regulated to only harvest data from those who opt-in with specific permission. In other words, existing email, cloud storage, social media sites, etc., should not be allowed to simply insert a clause into their TOS to allow themselves to train their machines on their users. Such methods are easily missed by users, and it essentially holds them under duress to pressure their consent.<br/><br/>7) I believe AI should be regulated so that any services run by image or language generators should clearly and plainly disclose themselves as such. i.e., Tech support chat bots, automated tellers, etc. It is my belief that people should never be duped into thinking they are interacting with a human if they aren&#39;t.<br/><br/>8) I believe that, going forward, if there *are* AI-generated works that allow a human to hold copyright and financially benefit from them, that human *must* also be held accountable for what the AI creates. This includes plagiarism, illegal / incendiary output, being trained on non-permitted sources, etc. Humans should should not gain benefits from owning/using an AI to create *unless* they are liable for its output, as well.",[],"Comment from Beattie, Amanda",2023-10-31T04:00:00Z
